Learning Rate: 0.1
EPOCH,ABS_ERROR
0,3
1,1.76271
2,1.48119
3,1.34487
4,1.25972
5,1.19947
6,1.15342
7,1.11627
8,1.08506
9,1.05804
10,1.03405
11,1.01234
12,0.992375
13,0.973776
14,0.956267
15,0.939642
16,0.923748
17,0.908465
18,0.893703
19,0.879392
20,0.865477
21,0.851916
22,0.838674
23,0.825727
24,0.813054
25,0.800639
26,0.788469
27,0.776535
28,0.764828
29,0.753343
30,0.742074
31,0.731018
32,0.720171
33,0.70953
34,0.699092
35,0.688855
36,0.678817
37,0.668975
38,0.659327
39,0.64987
40,0.640602
41,0.631521
42,0.622624
43,0.613908
44,0.605371
45,0.597009
46,0.588819
47,0.580799
48,0.572946
49,0.565255
50,0.557725
51,0.550352
52,0.543132
53,0.536063
54,0.529142
55,0.522364
56,0.515727
57,0.509228
58,0.502863
59,0.49663
60,0.490525
61,0.484545
62,0.478688
63,0.47295
64,0.467329
65,0.461821
66,0.456424
67,0.451135
68,0.445952
69,0.440871
70,0.435891
71,0.431009
72,0.426222
73,0.421529
74,0.416926
75,0.412411
76,0.407983
77,0.403639
78,0.399378
79,0.395196
80,0.391092
81,0.387065
82,0.383112
83,0.379232
84,0.375422
85,0.371681
86,0.368008
87,0.3644
88,0.360857
89,0.357376
90,0.353956
91,0.350596
92,0.347294
93,0.344049
94,0.34086
95,0.337725
96,0.334642
97,0.331612
98,0.328632
99,0.325702
100,0.32282
101,0.319985
102,0.317196
103,0.314452
104,0.311753
105,0.309096
106,0.306482
107,0.303908
108,0.301375
109,0.298882
110,0.296427
111,0.294009
112,0.291629
113,0.289285
114,0.286976
115,0.284702
116,0.282461
117,0.280254
118,0.278079
119,0.275936
120,0.273824
121,0.271743
122,0.269691
123,0.267669
124,0.265676
125,0.26371
126,0.261772
127,0.259861
128,0.257977
129,0.256118
130,0.254285
131,0.252477
132,0.250694
133,0.248934
134,0.247198
135,0.245485
136,0.243794
137,0.242126
138,0.240479
139,0.238854
140,0.23725
141,0.235667
142,0.234103
143,0.23256
144,0.231036
145,0.229531
146,0.228045
147,0.226577
148,0.225128
149,0.223696
150,0.222282
151,0.220884
152,0.219504
153,0.218141
154,0.216793
155,0.215462
156,0.214146
157,0.212846
158,0.211561
159,0.210291
160,0.209036
161,0.207795
162,0.206569
163,0.205356
164,0.204157
165,0.202972
166,0.2018
167,0.200641
168,0.199494
169,0.198361
170,0.19724
171,0.196131
172,0.195035
173,0.19395
174,0.192877
175,0.191815
176,0.190765
177,0.189725
178,0.188697
179,0.18768
180,0.186673
181,0.185677
182,0.184691
183,0.183715
184,0.182749
185,0.181793
186,0.180847
187,0.179911
188,0.178984
189,0.178066
190,0.177157
191,0.176257
192,0.175366
193,0.174484
194,0.173611
195,0.172746
196,0.171889
197,0.171041
198,0.170201
199,0.169369
200,0.168545
201,0.167729
202,0.16692
203,0.166119
204,0.165326
205,0.16454
206,0.163761
207,0.162989
208,0.162225
209,0.161467
210,0.160717
211,0.159973
212,0.159236
213,0.158506
214,0.157782
215,0.157064
216,0.156353
217,0.155649
218,0.15495
219,0.154258
220,0.153571
221,0.152891
222,0.152217
223,0.151548
224,0.150885
225,0.150228
226,0.149576
227,0.14893
228,0.14829
229,0.147654
230,0.147025
231,0.1464
232,0.145781
233,0.145166
234,0.144557
235,0.143953
236,0.143354
237,0.14276
238,0.14217
239,0.141585
240,0.141005
241,0.14043
242,0.139859
243,0.139293
244,0.138731
245,0.138174
246,0.137621
247,0.137073
248,0.136529
249,0.135989
250,0.135453
251,0.134921
252,0.134394
253,0.13387
254,0.133351
255,0.132835
256,0.132324
257,0.131816
258,0.131312
259,0.130812
260,0.130316
261,0.129823
262,0.129334
263,0.128849
264,0.128367
265,0.127889
266,0.127414
267,0.126943
268,0.126475
269,0.126011
270,0.12555
271,0.125092
272,0.124637
273,0.124186
274,0.123738
275,0.123294
276,0.122852
277,0.122413
278,0.121978
279,0.121546
280,0.121116
281,0.12069
282,0.120266
283,0.119846
284,0.119428
285,0.119013
286,0.118602
287,0.118192
288,0.117786
289,0.117383
290,0.116982
291,0.116584
292,0.116188
293,0.115795
294,0.115405
295,0.115018
296,0.114633
297,0.11425
298,0.11387
299,0.113493
300,0.113118
301,0.112745
302,0.112375
303,0.112007
304,0.111642
305,0.111279
306,0.110918
307,0.11056
308,0.110204
309,0.10985
310,0.109498
311,0.109149
312,0.108802
313,0.108457
314,0.108114
315,0.107773
316,0.107435
317,0.107098
318,0.106764
319,0.106431
320,0.106101
321,0.105773
322,0.105447
323,0.105123
324,0.1048
325,0.10448
326,0.104161
327,0.103845
328,0.10353
329,0.103218
330,0.102907
331,0.102598
332,0.102291
333,0.101986
334,0.101682
335,0.10138
336,0.10108
337,0.100782
338,0.100486
339,0.100191
340,0.0998979
341,0.0996066
342,0.0993169
343,0.099029
344,0.0987425
345,0.098458
346,0.0981749
347,0.0978934
348,0.0976135
349,0.0973353
350,0.0970585
351,0.0967834
352,0.0965098
353,0.0962378
354,0.0959672
355,0.0956981
356,0.0954305
357,0.0951644
358,0.0948998
359,0.0946367
360,0.094375
361,0.0941147
362,0.0938559
363,0.0935985
364,0.0933423
365,0.0930877
366,0.0928345
367,0.0925826
368,0.092332
369,0.0920828
370,0.0918349
371,0.0915883
372,0.0913431
373,0.0910991
374,0.0908565
375,0.090615
376,0.0903749
377,0.090136
378,0.0898984
379,0.0896621
380,0.089427
381,0.089193
382,0.0889604
383,0.0887288
384,0.0884985
385,0.0882694
386,0.0880415
387,0.0878147
388,0.0875891
389,0.0873647
390,0.0871413
391,0.0869191
392,0.0866981
393,0.0864781
394,0.0862592
395,0.0860415
396,0.0858248
397,0.0856092
398,0.0853947
399,0.0851813
400,0.0849689
401,0.0847576
402,0.0845472
403,0.084338
404,0.0841297
405,0.0839226
406,0.0837164
407,0.0835112
408,0.0833069
409,0.0831037
410,0.0829016
411,0.0827002
412,0.0825
413,0.0823007
414,0.0821023
415,0.0819049
416,0.0817084
417,0.0815129
418,0.0813183
419,0.0811245
420,0.0809318
421,0.0807399
422,0.080549
423,0.0803589
424,0.0801697
425,0.0799814
426,0.079794
427,0.0796075
428,0.0794218
429,0.0792369
430,0.079053
431,0.0788699
432,0.0786876
433,0.0785062
434,0.0783255
435,0.0781458
436,0.0779668
437,0.0777887
438,0.0776114
439,0.0774348
440,0.0772591
441,0.0770841
442,0.0769099
443,0.0767366
444,0.0765639
445,0.0763922
446,0.0762211
447,0.0760508
448,0.0758812
449,0.0757125
450,0.0755444
451,0.075377
452,0.0752105
453,0.0750446
454,0.0748795
455,0.074715
456,0.0745514
457,0.0743884
458,0.0742261
459,0.0740646
460,0.0739038
461,0.0737436
462,0.073584
463,0.0734253
464,0.0732671
465,0.0731098
466,0.072953
467,0.0727968
468,0.0726414
469,0.0724866
470,0.0723325
471,0.072179
472,0.0720262
473,0.0718741
474,0.0717226
475,0.0715716
476,0.0714213
477,0.0712716
478,0.0711227
479,0.0709742
480,0.0708264
481,0.0706792
482,0.0705327
483,0.0703867
484,0.0702413
485,0.0700966
486,0.0699524
487,0.0698088
488,0.0696658
489,0.0695234
490,0.0693816
491,0.0692403
492,0.0690996
493,0.0689594
494,0.0688199
495,0.0686809
496,0.0685424
497,0.0684045
498,0.0682672
499,0.0681304
500,0.0679942
501,0.0678584
502,0.0677234
503,0.0675887
504,0.0674545
505,0.067321
506,0.0671879
507,0.0670553
508,0.0669234
509,0.066792
510,0.0666609
511,0.0665304
512,0.0664006
513,0.0662711
514,0.0661421
515,0.0660136
516,0.0658857
517,0.0657582
518,0.0656313
519,0.0655048
520,0.0653788
521,0.0652533
522,0.0651282
523,0.0650037
524,0.0648797
525,0.0647561
526,0.0646329
527,0.0645102
528,0.064388
529,0.0642662
530,0.0641449
531,0.0640241
532,0.0639037
533,0.0637837
534,0.0636643
535,0.0635452
536,0.0634267
537,0.0633085
538,0.0631907
539,0.0630734
540,0.0629565
541,0.0628401
542,0.0627241
543,0.0626086
544,0.0624934
545,0.0623787
546,0.0622644
547,0.0621505
548,0.062037
549,0.0619239
550,0.0618113
551,0.0616991
552,0.0615872
553,0.0614758
554,0.0613647
555,0.0612541
556,0.0611438
557,0.061034
558,0.0609245
559,0.0608154
560,0.0607068
561,0.0605984
562,0.0604905
563,0.060383
564,0.0602759
565,0.0601691
566,0.0600626
567,0.0599567
568,0.059851
569,0.0597458
570,0.0596409
571,0.0595363
572,0.0594322
573,0.0593284
574,0.0592249
575,0.0591218
576,0.0590191
577,0.0589167
578,0.0588147
579,0.058713
580,0.0586117
581,0.0585107
582,0.0584101
583,0.0583098
584,0.0582099
585,0.0581103
586,0.0580111
587,0.0579121
588,0.0578135
589,0.0577153
590,0.0576173
591,0.0575197
592,0.0574225
593,0.0573256
594,0.0572289
595,0.0571326
596,0.0570366
597,0.056941
598,0.0568457
599,0.0567506
600,0.056656
601,0.0565616
602,0.0564675
603,0.0563739
604,0.0562804
605,0.0561872
606,0.0560944
607,0.0560018
608,0.0559096
609,0.0558178
610,0.0557261
611,0.0556348
612,0.0555438
613,0.0554531
614,0.0553627
615,0.0552726
616,0.0551828
617,0.0550931
618,0.0550039
619,0.0549149
620,0.0548263
621,0.0547378
622,0.0546496
623,0.0545619
624,0.0544744
625,0.054387
626,0.0543
627,0.0542134
628,0.0541269
629,0.0540408
630,0.0539549
631,0.0538691
632,0.0537839
633,0.0536987
634,0.0536139
635,0.0535293
636,0.0534451
637,0.0533611
638,0.0532773
639,0.0531939
640,0.0531106
641,0.0530276
642,0.0529449
643,0.0528624
644,0.0527802
645,0.0526983
646,0.0526166
647,0.0525351
648,0.052454
649,0.0523731
650,0.0522924
651,0.0522118
652,0.0521316
653,0.0520518
654,0.051972
655,0.0518926
656,0.0518133
657,0.0517344
658,0.0516556
659,0.0515771
660,0.0514988
661,0.0514208
662,0.0513431
663,0.0512655
664,0.0511882
665,0.051111
666,0.0510342
667,0.0509576
668,0.0508812
669,0.0508049
670,0.050729
671,0.0506533
672,0.0505777
673,0.0505025
674,0.0504275
675,0.0503527
676,0.050278
677,0.0502037
678,0.0501294
679,0.0500555
680,0.0499818
681,0.0499083
682,0.049835
683,0.0497618
684,0.0496891
685,0.0496164
686,0.0495439
687,0.0494717
688,0.0493996
689,0.0493278
690,0.0492562
691,0.0491848
692,0.0491136
693,0.0490426
694,0.0489718
695,0.0489012
696,0.0488308
697,0.0487606
698,0.0486907
699,0.0486209
700,0.0485513
701,0.0484819
702,0.0484128
703,0.0483437
704,0.0482749
705,0.0482063
706,0.048138
707,0.0480698
708,0.0480017
709,0.0479339
710,0.0478663
711,0.0477988
712,0.0477316
713,0.0476646
714,0.0475976
715,0.047531
716,0.0474645
717,0.0473982
718,0.047332
719,0.047266
720,0.0472003
721,0.0471347
722,0.0470693
723,0.0470041
724,0.046939
725,0.0468742
726,0.0468095
727,0.046745
728,0.0466807
729,0.0466165
730,0.0465525
731,0.0464888
732,0.0464251
733,0.0463617
734,0.0462984
735,0.0462353
736,0.0461724
737,0.0461095
738,0.046047
739,0.0459846
740,0.0459224
741,0.0458602
742,0.0457983
743,0.0457365
744,0.045675
745,0.0456135
746,0.0455522
747,0.0454912
748,0.0454303
749,0.0453695
750,0.0453089
751,0.0452484
752,0.0451881
753,0.0451281
754,0.045068
755,0.0450082
756,0.0449485
757,0.0448891
758,0.0448297
759,0.0447707
760,0.0447115
761,0.0446526
762,0.044594
763,0.0445354
764,0.0444771
765,0.0444187
766,0.0443607
767,0.0443027
768,0.0442449
769,0.0441872
770,0.0441298
771,0.0440724
772,0.0440151
773,0.0439581
774,0.0439012
775,0.0438444
776,0.0437878
777,0.0437313
778,0.043675
779,0.0436188
780,0.0435628
781,0.043507
782,0.0434512
783,0.0433956
784,0.0433401
785,0.0432848
786,0.0432296
787,0.0431746
788,0.0431197
789,0.0430649
790,0.0430104
791,0.0429558
792,0.0429014
793,0.0428472
794,0.0427931
795,0.0427392
796,0.0426854
797,0.0426318
798,0.0425782
799,0.0425249
800,0.0424716
801,0.0424184
802,0.0423654
803,0.0423126
804,0.0422598
805,0.0422072
806,0.0421548
807,0.0421024
808,0.0420502
809,0.0419981
810,0.0419462
811,0.0418943
812,0.0418426
813,0.041791
814,0.0417396
815,0.0416882
816,0.041637
817,0.0415859
818,0.0415351
819,0.0414842
820,0.0414335
821,0.0413829
822,0.0413325
823,0.0412822
824,0.0412319
825,0.0411819
826,0.041132
827,0.0410821
828,0.0410324
829,0.0409828
830,0.0409333
831,0.0408839
832,0.0408346
833,0.0407855
834,0.0407365
835,0.0406876
836,0.0406389
837,0.0405902
838,0.0405417
839,0.0404933
840,0.0404449
841,0.0403967
842,0.0403486
843,0.0403006
844,0.0402528
845,0.0402051
846,0.0401574
847,0.0401099
848,0.0400626
849,0.0400153
850,0.0399681
851,0.039921
852,0.039874
853,0.0398272
854,0.0397805
855,0.0397339
856,0.0396873
857,0.0396409
858,0.0395946
859,0.0395484
860,0.0395023
861,0.0394563
862,0.0394104
863,0.0393647
864,0.039319
865,0.0392734
866,0.039228
867,0.0391826
868,0.0391374
869,0.0390924
870,0.0390473
871,0.0390023
872,0.0389575
873,0.0389128
874,0.0388681
875,0.0388236
876,0.0387793
877,0.0387349
878,0.0386907
879,0.0386466
880,0.0386025
881,0.0385587
882,0.0385149
883,0.0384711
884,0.0384275
885,0.0383841
886,0.0383406
887,0.0382973
888,0.0382541
889,0.038211
890,0.0381679
891,0.038125
892,0.0380821
893,0.0380393
894,0.0379967
895,0.0379542
896,0.0379118
897,0.0378694
898,0.0378272
899,0.0377849
900,0.0377429
901,0.0377009
902,0.037659
903,0.0376172
904,0.0375755
905,0.0375338
906,0.0374923
907,0.037451
908,0.0374096
909,0.0373683
910,0.0373271
911,0.0372861
912,0.0372452
913,0.0372042
914,0.0371634
915,0.0371227
916,0.0370821
917,0.0370417
918,0.0370012
919,0.0369608
920,0.0369205
921,0.0368804
922,0.0368403
923,0.0368002
924,0.0367603
925,0.0367205
926,0.0366808
927,0.0366411
928,0.0366014
929,0.036562
930,0.0365226
931,0.0364833
932,0.036444
933,0.0364049
934,0.0363659
935,0.0363269
936,0.036288
937,0.0362491
938,0.0362104
939,0.0361717
940,0.0361332
941,0.0360947
