Learning Rate: 1
EPOCH,ABS_ERROR
0,3
1,0.995238
2,0.988985
3,0.97457
4,0.941562
5,0.867344
6,0.7094
7,0.429568
8,0.152553
9,0.0925482
10,0.0923942
11,0.0897925
12,0.0874687
13,0.0852545
14,0.08315
15,0.0811467
16,0.0792378
17,0.0774167
18,0.0756773
19,0.0740144
20,0.072423
21,0.0708987
22,0.0694374
23,0.0680349
24,0.066688
25,0.0653936
26,0.0641484
27,0.0629498
28,0.0617952
29,0.0606822
30,0.0596086
31,0.0585723
32,0.0575716
33,0.0566044
34,0.0556691
35,0.0547644
36,0.0538886
37,0.0530404
38,0.0522185
39,0.0514217
40,0.0506489
41,0.0498991
42,0.0491711
43,0.048464
44,0.0477771
45,0.0471092
46,0.0464598
47,0.0458282
48,0.0452135
49,0.044615
50,0.0440323
51,0.0434646
52,0.0429114
53,0.0423719
54,0.0418459
55,0.041333
56,0.0408324
57,0.0403438
58,0.0398667
59,0.0394009
60,0.0389458
61,0.0385011
62,0.0380664
63,0.0376415
64,0.0372259
65,0.0368195
66,0.0364219
67,0.0360327
68,0.0356518
69,0.0352788
70,0.0349136
71,0.0345559
72,0.0342053
73,0.0338619
74,0.0335253
75,0.0331953
76,0.0328718
77,0.0325545
78,0.0322433
79,0.031938
80,0.0316385
81,0.0313446
82,0.031056
83,0.0307726
84,0.0304944
85,0.0302212
86,0.0299528
87,0.0296892
88,0.0294303
89,0.0291758
90,0.0289256
91,0.0286797
92,0.028438
93,0.0282003
94,0.0279665
95,0.0277365
96,0.0275104
97,0.0272879
98,0.027069
99,0.0268536
100,0.0266416
101,0.0264329
102,0.0262273
103,0.026025
104,0.0258259
105,0.0256297
106,0.0254366
107,0.0252462
108,0.0250588
109,0.0248741
110,0.0246919
111,0.0245125
112,0.0243358
113,0.0241616
114,0.0239898
115,0.0238205
116,0.0236535
117,0.0234889
118,0.0233266
119,0.0231664
120,0.0230085
121,0.0228527
122,0.022699
123,0.0225473
124,0.0223977
125,0.02225
126,0.0221043
127,0.0219605
128,0.0218186
129,0.0216785
130,0.0215401
131,0.0214034
132,0.0212686
133,0.0211354
134,0.0210039
135,0.020874
136,0.0207458
137,0.020619
138,0.0204938
139,0.0203701
140,0.0202479
141,0.0201273
142,0.020008
143,0.01989
144,0.0197735
145,0.0196583
146,0.0195445
147,0.0194321
148,0.0193208
149,0.0192109
150,0.0191022
151,0.0189947
152,0.0188884
153,0.0187833
154,0.0186794
155,0.0185766
156,0.0184749
157,0.0183744
158,0.0182749
159,0.0181765
160,0.0180792
161,0.0179829
162,0.0178876
163,0.0177934
164,0.0177
165,0.0176077
166,0.0175164
167,0.0174259
168,0.0173365
169,0.017248
170,0.0171603
171,0.0170735
172,0.0169876
173,0.0169026
174,0.0168184
175,0.016735
176,0.0166525
177,0.0165707
178,0.0164898
179,0.0164096
180,0.0163303
181,0.0162517
182,0.0161738
183,0.0160967
184,0.0160204
185,0.0159447
186,0.0158697
187,0.0157956
188,0.015722
189,0.0156492
190,0.015577
191,0.0155054
192,0.0154345
193,0.0153644
194,0.0152947
195,0.0152258
196,0.0151574
197,0.0150897
198,0.0150225
199,0.014956
200,0.01489
201,0.0148247
202,0.0147599
203,0.0146956
204,0.014632
205,0.0145689
206,0.0145064
207,0.0144443
208,0.0143828
209,0.0143217
210,0.0142612
211,0.0142013
212,0.0141418
213,0.0140828
214,0.0140244
215,0.0139663
216,0.0139089
217,0.0138518
218,0.0137953
219,0.0137391
220,0.0136833
221,0.0136281
222,0.0135733
223,0.013519
224,0.0134652
225,0.0134117
226,0.0133586
227,0.013306
228,0.0132537
229,0.013202
230,0.0131506
231,0.0130995
232,0.013049
233,0.0129988
234,0.0129489
235,0.0128994
236,0.0128504
237,0.0128016
238,0.0127532
239,0.0127052
240,0.0126576
241,0.0126105
242,0.0125636
243,0.012517
244,0.0124707
245,0.0124249
246,0.0123794
247,0.0123342
248,0.0122893
249,0.0122447
